STATION,NAME,DATE,PRCP,TMAX,TMIN,year,month,day
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-03,0,72,53,2014,9,3
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-04,0,66,45,2014,9,4
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-05,0,66,44,2014,9,5
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-06,0.1,70,45,2014,9,6
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-07,0,71,49,2014,9,7
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-08,0.8,68,45,2014,9,8
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-09,0.7,50,39,2014,9,9
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-10,0,60,40,2014,9,10
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-11,0,61,38,2014,9,11
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-12,0.1,60,34,2014,9,12
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-13,0,69,42,2014,9,13
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-14,0,70,50,2014,9,14
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-15,0,73,50,2014,9,15
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-16,0,74,50,2014,9,16
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-17,0,75,51,2014,9,17
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-18,0,72,51,2014,9,18
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-19,0,69,47,2014,9,19
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-20,0,71,49,2014,9,20
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-21,1,57,45,2014,9,21
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-22,0,62,44,2014,9,22
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-23,0,66,46,2014,9,23
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-24,0,71,46,2014,9,24
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-25,0,71,49,2014,9,25
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-26,0.2,68,49,2014,9,26
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-27,1.7,55,39,2014,9,27
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-28,0.4,55,37,2014,9,28
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-29,0,49,34,2014,9,29
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-30,0.2,50,35,2014,9,30
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-10-01,0,44,29,2014,10,1
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-10-02,0.1,49,28,2014,10,2
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-10-03,0,56,34,2014,10,3
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-10-04,0,58,35,2014,10,4
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-10-05,0,60,38,2014,10,5
